DATABASE;NAME;EQUATION;CODE;MAIN EQUATION;ENZYME;PATHWAY;KEGG MAPS;REVERSIBILITY;DELTAG;DELTAGERR;KEGGID;ARGONNEID;MODELID;MODELS
rxn03423;N4-Acetylaminobutanal:NAD+ oxidoreductase;cpd00001 + cpd00003 + cpd03529 <=> cpd00004 + (2) cpd00067 + cpd01889;cpd00001 + cpd00003 + cpd03529 <=> cpd00004 + cpd01889;cpd03529 <=> cpd01889;1.2.1.3;Urea cycle and metabolism of amino groups|Other Amino Acid Metabolism|rn00220;00220;<=>;-9.803;1.17612;R05050;rxn03423|rxn09520;rxn09520|R05050|NABTNO;All:rxn09520|All:R05050|All:NABTNO|iMM904:NABTNO|iND750:NABTNO
rxn03424;L-erythro-4-Hydroxyglutamate:NAD+ oxidoreductase|L-4-hydroxyglutamate semialdehyde dehydrogenase, mitochondrial|_4HGLSD|L-4-hydroxyglutamatesemialdehydedehydrogenase-mitochondrial;cpd00004 + (2) cpd00067 + cpd01974 <=> cpd00001 + cpd00003 + cpd03530;cpd00004 + cpd01974 <=> cpd00001 + cpd00003 + cpd03530;cpd01974 <=> cpd03530;1.5.1.12|1.5.99.8;PATH: rn00330  Arginine and proline metabolism|Arginine and Proline Metabolism|Arginine and proline metabolism|rn00330;00330;<=>;9.803;1.17612;R05051;rxn03424|rxn09416;_4HGLSD|rxn09416|4HGLSDm|R05051;All:_4HGLSD|All:rxn09416|All:4HGLSDm|All:R05051|iIT341:_4HGLSD|iMM904:4HGLSDm|iND750:4HGLSDm
rxn03426;D-Aspartate:2-oxoglutarate aminotransferase;cpd00320 + cpd00830 <=> cpd00032 + cpd01974;cpd00320 + cpd00830 <=> cpd00032 + cpd01974;cpd00320 + cpd00830 <=> cpd00032 + cpd01974;2.6.1.21;Arginine and proline metabolism|rn00330;00330;<=>;0;2;R05053;rxn03426;R05053;All:R05053
rxn03427;;cpd00001 + cpd03540 <=> cpd00033 + cpd03541;cpd00001 + cpd03540 <=> cpd00033 + cpd03541;cpd03540 <=> cpd00033 + cpd03541;2.3.2.-;Arachidonic acid metabolism|rn00590;00590;<=>;-0.463;0.848213;R05055;rxn03427;R05055;All:R05055
rxn03428;;cpd03542 <=> cpd03544;cpd03542 <=> cpd03544;cpd03542 <=> cpd03544;;Arachidonic acid metabolism|rn00590;00590;<=>;-1.69;0.746806;R05056;rxn03428;R05056;All:R05056
rxn03429;;cpd03543 <=> cpd03544;cpd03543 <=> cpd03544;cpd03543 <=> cpd03544;;Arachidonic acid metabolism|rn00590;00590;<=>;-0.03;0.618189;R05057;rxn03429;R05057;All:R05057
rxn03430;;cpd03546 <=> cpd03547;cpd03546 <=> cpd03547;cpd03546 <=> cpd03547;;Arachidonic acid metabolism|rn00590;00590;<=;14.53;2.17948;R05058;rxn03430;R05058;All:R05058
rxn03431;;cpd00986 + cpd03562 <=> cpd00097 + cpd03563;cpd00986 + cpd03562 <=> cpd00097 + cpd03563;cpd03562 <=> cpd03563;1.1.99.8;Propanoate metabolism|rn00640;00640;<=;38.5;4.43222;R05062;rxn03431;R05062;All:R05062
rxn03432;;cpd00001 + cpd00022 + cpd03737 <=> cpd00010 + cpd00067 + cpd03567;cpd00001 + cpd00022 + cpd03737 <=> cpd00010 + cpd03567;cpd00022 + cpd03737 <=> cpd03567;4.1.3.-;Pyruvate metabolism|rn00620;00620;=>;-8.927;1.30861;R05063;rxn03432;R05063;All:R05063
rxn03433;(S)-3-Hydroxyisobutyryl-CoA hydrolase|3-hydroxyisobutyryl-CoA hydrolase|3-hydroxyisobutyryl-CoA hydrolase, mitochondrial;cpd00001 + cpd03572 <=> cpd00010 + cpd00067 + cpd00876;cpd00001 + cpd03572 <=> cpd00010 + cpd00876;cpd03572 <=> cpd00876;3.1.2.4;Valine, leucine and isoleucine degradation|Amino acids and related molecules|rn00280;00280;=>;-5.757;1.20727;R05064;rxn03433|rxn05742;R05064|rxn05742|HIBHr|3HBCOAHL;All:R05064|All:rxn05742|All:HIBHr|All:3HBCOAHL|iJN746:3HBCOAHL|iYO844:HIBHr
rxn03435;(R)-2,3-Dihydroxy-3-methylpentanoate:NADP+ oxidoreductase|(isomerizing)| (isomerizing);cpd00006 + cpd02535 <=> cpd00005 + cpd00067 + cpd10162;cpd00006 + cpd02535 <=> cpd00005 + cpd10162;cpd02535 <=> cpd10162;1.1.1.86;Valine, leucine and isoleucine biosynthesis|rn00290;00290;<=>;6.22;1.09509;R05068;rxn03435;R05068;All:R05068
rxn03436;(S)-2-Aceto-2-hydroxybutanoate:NADP+ oxidoreductase (isomerizing);cpd00498 <=> cpd10162;cpd00498 <=> cpd10162;cpd00498 <=> cpd10162;1.1.1.86|5.4.99.3;Valine, leucine and isoleucine biosynthesis|rn00290;00290;<=>;2.46;0.183;R05069;rxn03436;R05069;All:R05069
rxn03437;(R)-2,3-Dihydroxy-3-methylpentanoate hydro-lyase|Dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylpentanoate)|dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylpentanoate), mitochondrial|dihydroxy-acid dehydratase|dihydroxy-acid dehydratase ;cpd02535 <=> cpd00001 + cpd00508;cpd02535 <=> cpd00001 + cpd00508;cpd02535 <=> cpd00508;4.2.1.9;Valine, leucine and isoleucine biosynthesis|Valine, Leucine, and Isoleucine Metabolism|Valine, leucine, and isoleucine metabolism|Amino acids and related molecules|Isoleucine biosynthesis|rn00290;00290;=>;-6.747;0.684249;R05070;rxn03437|rxn11028;rll_211|DIHYDROXYMETVALDEHYDRAT-RXN|DHAD2|rbs_24|R05070|rxn11028|DHAD2m|ILV3_3;All:rll_211|All:DIHYDROXYMETVALDEHYDRAT-RXN|All:DHAD2|All:rbs_24|All:R05070|All:rxn11028|All:DHAD2m|iAbaylyiv4:DIHYDROXYMETVALDEHYDRAT-RXN|iAF1260:DHAD2|iAF692:DHAD2|iAG612:rbs_24|iAO358:rll_211|iIN800:ILV3_3|iJN746:DHAD2|iJR904:DHAD2|iMEO21:DHAD2|iMM904:DHAD2m|iND750:DHAD2m|iNJ661:DHAD2|iSB619:DHAD2|iSO783:DHAD2|iYO844:DHAD2
rxn03439;3-deoxy-D-manno-octulosonic acid transferase|3-deoxy-d-manno-octulosonic acid transferase;cpd02546 + cpd03585 <=> cpd00046 + cpd03586;cpd02546 + cpd03585 <=> cpd00046 + cpd03586;cpd02546 + cpd03585 <=> cpd00046 + cpd03586;2.-.-.-;Lipopolysaccharide biosynthesis|Lipopolysaccharide Biosynthesis / Recycling|Cell Envelope Biosynthesis|KDO-lipid A biosynthesis|rn00540;00540;<=>;-1.7;0.632032;R05074;rxn03439;MOAT2|R05074|KDOTRANS2-RXN;All:MOAT2|All:R05074|All:KDOTRANS2-RXN|iAbaylyiv4:KDOTRANS2-RXN|iAF1260:MOAT2|iJR904:MOAT2
rxn03440;;cpd03588 <=> cpd00001 + cpd03589;cpd03588 <=> cpd00001 + cpd03589;cpd03588 <=> cpd03589;;C5-Branched dibasic acid metabolism|rn00660;00660;<=>;0.053;0.8965;R05076;rxn03440;R05076;All:R05076
rxn03441;;cpd00013 + (2) cpd00067 + cpd02570 <=> cpd00001 + cpd03595;cpd00013 + cpd02570 <=> cpd00001 + cpd03595;cpd02570 <=> cpd03595;;C5-Branched dibasic acid metabolism|rn00660;00660;<=;6.113;0.792284;R05077;rxn03441;R05077;All:R05077
rxn03442;;cpd02570 <=> cpd00001 + cpd03596;cpd02570 <=> cpd00001 + cpd03596;cpd02570 <=> cpd03596;;C5-Branched dibasic acid metabolism|Benzoate degradation via hydroxylation|rn00362|rn00660;00362|00660;<=>;2.363;0.822643;R05078;rxn03442;R05078;All:R05078
rxn03443;;cpd00013 + (4) cpd00067 + cpd03596 <=> cpd00001 + cpd03728;cpd00013 + cpd03596 <=> cpd00001 + cpd03728;cpd03596 <=> cpd03728;;C5-Branched dibasic acid metabolism|rn00660;00660;<=;5.583;1.00995;R05079;rxn03443;R05079;All:R05079
rxn03444;;cpd00027 + cpd03597 <=> cpd00001 + cpd03599;cpd00027 + cpd03597 <=> cpd00001 + cpd03599;cpd00027 + cpd03597 => cpd03599;;Tyrosine metabolism;;<=>;3.113;0.692797;;rxn03444;;
rxn03445;O-Phospho-4-hydroxy-L-threonine:2-oxoglutarate aminotransferase|phosphohydroxythreonine transaminase;cpd00024 + cpd03607 <=> cpd00023 + cpd03606;cpd00024 + cpd03607 <=> cpd00023 + cpd03606;cpd00024 + cpd03607 <=> cpd00023 + cpd03606;2.6.1.52;Vitamin B6 metabolism|Cofactor and Prosthetic Group Biosynthesis|Pyridoxine Metabolism|Vitamin B6 metabolism|Glycine, Serine, and Threonine Metabolism|Pyridoxal 5P biosynthesis|Vitamin B6 Metabolism|rn00750;00750;<=>;0;2;R05085;rxn03445;PSERTRANSAMPYR-RXN|R05085|OHPBAT|SER1_2;All:PSERTRANSAMPYR-RXN|All:R05085|All:OHPBAT|iAbaylyiv4:PSERTRANSAMPYR-RXN|iAF1260:OHPBAT|iIN800:SER1_2|iJN746:OHPBAT|iJR904:OHPBAT|iMEO21:OHPBAT|iMM904:OHPBAT|iND750:OHPBAT|iNJ661:OHPBAT|iSO783:OHPBAT
rxn03446;O-Phospho-4-hydroxy-L-threonine phospho-lyase (adding water)|4-Hydroxy-L-threonine synthase;cpd00001 + cpd03607 <=> cpd00009 + cpd00067 + cpd03608;cpd00001 + cpd03607 <=> cpd00009 + cpd03608;cpd03607 <=> cpd03608;4.2.3.1;Vitamin B6 metabolism|Cofactor and Prosthetic Group Biosynthesis|Threonine and Lysine Metabolism|Vitamin B6 metabolism|Cofactor Metabolism|Vitamin B6 Metabolism|rn00750;00750;=>;-2.317;0.735634;R05086;rxn03446;4HTHRS|R05086|THR4_2;All:4HTHRS|All:R05086|iAF1260:4HTHRS|iIN800:THR4_2|iJN746:4HTHRS|iJR904:4HTHRS|iMEO21:4HTHRS|iMM904:4HTHRS|iND750:4HTHRS|iNJ661:4HTHRS
rxn03447;;cpd00067 + cpd03608 <=> cpd00011 + cpd03609;cpd03608 <=> cpd00011 + cpd03609;cpd03608 <=> cpd03609;4.1.1.-;;;=>;-3.09;0.5417;R05087;rxn03447;R05087;All:R05087
rxn03448;;cpd03614 <=> cpd00001 + cpd03615;cpd03614 <=> cpd00001 + cpd03615;cpd03614 => cpd03615;;Terpenoid biosynthesis;;<=>;1e+07;1e+07;;rxn03448;;
rxn03449;;cpd03616 <=> cpd03617;cpd03616 <=> cpd03617;cpd03616 <=> cpd03617;;Terpenoid biosynthesis|rn00900;00900;=>;-26.75;0.196919;R05089;rxn03449;R05089;All:R05089
rxn03450;;cpd03617 <=> cpd03618;cpd03617 <=> cpd03618;cpd03617 <=> cpd03618;;Terpenoid biosynthesis|rn00900;00900;=>;-210.44;2.75434;R05090;rxn03450;R05090;All:R05090
rxn03451;;cpd03626 <=> cpd03627;cpd03626 <=> cpd03627;cpd03626 => cpd03627;;Terpenoid biosynthesis;;=>;-96.38;1.25289;;rxn03451;;
rxn03452;ent-Copalyl-diphosphate diphosphate-lyase;cpd03629 <=> cpd00012 + cpd03630;cpd03629 <=> cpd00012 + cpd03630;cpd03629 <=> cpd03630;4.2.3.19;Diterpenoid biosynthesis|rn00904;00904;<=>;1e+07;1e+07;R05092;rxn03452;R05092;All:R05092
rxn03453;(gibberellin-44),2-oxoglutarate:oxygen oxidoreductase;cpd00007 + cpd00024 + cpd03634 <=> cpd00011 + cpd00036 + cpd03635;cpd00007 + cpd00024 + cpd03634 <=> cpd00011 + cpd00036 + cpd03635;cpd00007 + cpd00024 + cpd03634 <=> cpd00036 + cpd03635;1.14.11.12;Diterpenoid biosynthesis|rn00904;00904;=>;-106.47;0.775471;R05097;rxn03453;R05097;All:R05097
rxn03454;;cpd00006 + cpd03639 <=> cpd00005 + cpd03640;cpd00006 + cpd03639 <=> cpd00005 + cpd03640;cpd03639 <=> cpd03640;;;;<=>;-6.81;1.55775;;rxn03454;;
rxn03455;6-Oxohexanoate:NADP oxidoreductase;cpd00001 + cpd00006 + cpd03640 <=> cpd00005 + (2) cpd00067 + cpd03642;cpd00001 + cpd00006 + cpd03640 <=> cpd00005 + cpd03642;cpd03640 <=> cpd03642;1.2.1.4|1.2.1.63;Caprolactam degradation|rn00930;00930;<=>;-9.803;1.17612;R05099;rxn03455;R05099;All:R05099
rxn03456;;cpd00067 + cpd03640 <=> cpd00001 + cpd03643;cpd03640 <=> cpd00001 + cpd03643;cpd03640 <=> cpd03643;3.7.1.-;Caprolactam degradation|rn00930;00930;<=;14.843;1.32787;R05100;rxn03456;R05100;All:R05100
rxn03457;;cpd00010 + cpd00011 + cpd03649 <=> cpd00054 + cpd00067 + cpd03126;cpd00010 + cpd00011 + cpd03649 <=> cpd00054 + cpd03126;cpd03649 <=> cpd00054 + cpd03126;;;;<=;-2.156;1.19377;R05103;rxn03457;R05103;All:R05103
rxn03458;;cpd00285 + cpd03650 <=> cpd03651;cpd00285 + cpd03650 <=> cpd03651;cpd00285 + cpd03650 <=> cpd03651;4.1.2.-;;;<=>;-1.01;0.449129;R05104;rxn03458;R05104;All:R05104
rxn03459;(N-Acetylneuraminyl)-galactosylglucosylceramide|N-acetylgalactosaminyltransferase| N-acetylgalactosaminyltransferase;cpd00175 + cpd03654 <=> cpd00014 + cpd03655;cpd00175 + cpd03654 <=> cpd00014 + cpd03655;cpd00175 + cpd03654 <=> cpd00014 + cpd03655;2.4.1.92;;;<=>;-1.7;0.632032;R05109;rxn03459;R05109;All:R05109
rxn03460;;cpd00043 + cpd03655 <=> cpd00014 + cpd03661;cpd00043 + cpd03655 <=> cpd00014 + cpd03661;cpd00043 + cpd03655 <=> cpd00014 + cpd03661;2.4.1.62;;;<=>;-1.7;0.632032;R05110;rxn03460;R05110;All:R05110
rxn03461;;cpd00043 + cpd03656 <=> cpd00014 + cpd03657;cpd00043 + cpd03656 <=> cpd00014 + cpd03657;cpd00043 + cpd03656 <=> cpd00014 + cpd03657;2.4.1.62;;;<=>;-1.7;0.632032;R05111;rxn03461;R05111;All:R05111
rxn03462;Gal-beta1->3GalNAc-beta1->4Gal-beta1->4Glc-beta1->1'Cer|galactohydrolase| galactohydrolase;cpd00001 + cpd03657 <=> cpd00108 + cpd03656;cpd00001 + cpd03657 <=> cpd00108 + cpd03656;cpd03657 <=> cpd00108 + cpd03656;3.2.1.23;;;<=>;-3.113;0.692797;R05112;rxn03462;R05112;All:R05112
rxn03463;;cpd00112 + cpd03658 <=> cpd00046 + cpd03659;cpd00112 + cpd03658 <=> cpd00046 + cpd03659;cpd00112 + cpd03658 <=> cpd00046 + cpd03659;2.4.99.8;;;<=>;-1.7;0.632032;R05113;rxn03463;R05113;All:R05113
rxn03464;;cpd00112 + cpd03660 <=> cpd00046 + cpd03659;cpd00112 + cpd03660 <=> cpd00046 + cpd03659;cpd00112 + cpd03660 <=> cpd00046 + cpd03659;2.4.99.-;;;<=>;-1.7;0.632032;R05114;rxn03464;R05114;All:R05114
rxn03465;Acylneuraminyl hydrolase;cpd00232 + cpd03660 <=> cpd00001 + cpd03659;cpd00232 + cpd03660 <=> cpd00001 + cpd03659;cpd00232 + cpd03660 <=> cpd03659;3.2.1.18;;;<=>;3.113;0.692797;R05115;rxn03465;R05115;All:R05115
rxn03466;;cpd00112 + cpd03661 <=> cpd00046 + cpd03660;cpd00112 + cpd03661 <=> cpd00046 + cpd03660;cpd00112 + cpd03661 <=> cpd00046 + cpd03660;2.4.99.4;;;<=>;-1.7;0.632032;R05116;rxn03466;R05116;All:R05116
rxn03467;;cpd00001 + cpd03660 <=> cpd00232 + cpd03661;cpd00001 + cpd03660 <=> cpd00232 + cpd03661;cpd03660 <=> cpd00232 + cpd03661;3.2.1.18;;;<=>;-3.113;0.692797;R05117;rxn03467;R05117;All:R05117
rxn03468;3-Butyn-1-al:NAD+ oxidoreductase;cpd00001 + cpd00003 + cpd03664 <=> cpd00004 + (2) cpd00067 + cpd03663;cpd00001 + cpd00003 + cpd03664 <=> cpd00004 + cpd03663;cpd03664 <=> cpd03663;1.2.1.3;Butanoate metabolism|rn00650;00650;<=>;-9.803;1.17612;R05119;rxn03468;R05119;All:R05119
rxn03469;3-Butynoate:(pyrroloquinoline-quinone) oxidoreductase;cpd00001 + cpd00097 + cpd03664 <=> cpd00067 + cpd00986 + cpd03663;cpd00001 + cpd00097 + cpd03664 <=> cpd00986 + cpd03663;cpd03664 <=> cpd03663;1.2.99.3;Butanoate metabolism|rn00650;00650;=>;-53.523;4.46619;R05120;rxn03469;R05120;All:R05120
rxn03470;;cpd00986 + cpd03664 <=> cpd00097 + cpd03665;cpd00986 + cpd03664 <=> cpd00097 + cpd03665;cpd03664 <=> cpd03665;1.1.99.8;Butanoate metabolism|rn00650;00650;<=;38.5;4.43222;R05121;rxn03470;R05121;All:R05121
rxn03471;;(2) cpd00017 + cpd03666 <=> cpd00001 + (2) cpd00019 + (2) cpd00067 + cpd03667;(2) cpd00017 + cpd03666 <=> cpd00001 + (2) cpd00019 + cpd03667;2 cpd00017 + cpd03666 <=> 2 cpd00019 + cpd03667;;Folate biosynthesis|rn00790;00790;=>;-48.837;4.87247;R05122;rxn03471;R05122;All:R05122
rxn03472;S-Adenosyl-L-methionine:(RS)-norcoclaurine 6-O-methyltransferase;cpd00017 + cpd03675 <=> cpd00019 + cpd00067 + cpd03676;cpd00017 + cpd03675 <=> cpd00019 + cpd03676;cpd00017 + cpd03675 <=> cpd00019 + cpd03676;2.1.1.128;Alkaloid biosynthesis I|rn00950;00950;<=>;-4.36;2.22091;R05123;rxn03472;R05123;All:R05123
rxn03473;codeine:NADP+ oxidoreductase;cpd00006 + cpd03684 <=> cpd00005 + cpd00067 + cpd03681;cpd00006 + cpd03684 <=> cpd00005 + cpd03681;cpd03684 <=> cpd03681;1.1.1.247;Alkaloid biosynthesis I|rn00950;00950;<=>;0.75;1.13993;R05124;rxn03473;R05124;All:R05124
rxn03474;;cpd03681 <=> cpd03682;cpd03681 <=> cpd03682;cpd03681 <=> cpd03682;;Alkaloid biosynthesis I|rn00950;00950;<=>;1e+07;1e+07;R05125;rxn03474;R05125;All:R05125
rxn03475;;cpd03682 <=> cpd03683;cpd03682 <=> cpd03683;cpd03682 <=> cpd03683;;Alkaloid biosynthesis I|rn00950;00950;<=;15.41;0.846801;R05126;rxn03475;R05126;All:R05126
rxn03476;;cpd03683 <=> cpd03685;cpd03683 <=> cpd03685;cpd03683 <=> cpd03685;;Alkaloid biosynthesis I|rn00950;00950;=>;-14.65;0.440705;R05127;rxn03476;R05127;All:R05127
rxn03477;;cpd00011 + cpd03690 <=> cpd00218 + cpd03691;cpd00011 + cpd03690 <=> cpd00218 + cpd03691;cpd03690 <=> cpd00218 + cpd03691;;Alkaloid biosynthesis II|rn00960;00960;<=;9.42;1.34798;R05128;rxn03477;R05128;All:R05128
rxn03478;;cpd00001 + cpd00279 + cpd03691 <=> cpd00010 + cpd00011 + cpd00067 + cpd03692;cpd00001 + cpd00279 + cpd03691 <=> cpd00010 + cpd00011 + cpd03692;cpd00279 + cpd03691 <=> cpd03692;;Alkaloid biosynthesis II|rn00960;00960;=>;-16.727;1.7867;R05129;rxn03478;R05129;All:R05129
rxn03479;;cpd03691 + cpd03692 <=> cpd00067 + cpd03693;cpd03691 + cpd03692 <=> cpd03693;cpd03691 + cpd03692 <=> cpd03693;;Alkaloid biosynthesis II|rn00960;00960;<=>;-6.07;1.23155;R05130;rxn03479;R05130;All:R05130
rxn03480;;cpd03692 <=> cpd03694;cpd03692 <=> cpd03694;cpd03692 <=> cpd03694;;Alkaloid biosynthesis II|rn00960;00960;<=;12.27;0.821945;R05131;rxn03480;R05131;All:R05131
rxn03481;Arbutin 6-phosphate glucohydrolase|6-phospho-beta-glucosidase|6-phospho-beta-glucosidase ;cpd00001 + cpd03697 <=> cpd00415 + cpd00863;cpd00001 + cpd03697 <=> cpd00415 + cpd00863;cpd03697 <=> cpd00415 + cpd00863;3.2.1.86;Glycolysis / Gluconeogenesis|rn00010;00010;<=>;-3.113;0.692797;R05133;rxn03481;rll_72|R05133;All:rll_72|All:R05133|iAO358:rll_72
rxn03482;Salicin 6-phosphate glucohydrolase|6-phospho-beta-glucosidase|6-phospho-beta-glucosidase ;cpd00001 + cpd03698 <=> cpd00863 + cpd01553;cpd00001 + cpd03698 <=> cpd00863 + cpd01553;cpd03698 <=> cpd00863 + cpd01553;3.2.1.86;Glycolysis / Gluconeogenesis|rn00010;00010;<=>;-3.113;0.692797;R05134;rxn03482;rll_71|R05134;All:rll_71|All:R05134|iAO358:rll_71
rxn03483;2',3'-Cyclic GMP 3'-nucleotidohydrolase|2',3'-cyclic-nucleotide phosphodiesterase (GMP) (periplasm)|2',3'-cyclic-nucleotide 2'-phosphodiesterase (2',3' -cyclic GMP);cpd00001 + cpd03702 <=> cpd03701;cpd00001 + cpd03702 <=> cpd03701;cpd03702 <=> cpd03701;3.1.4.16;Purine metabolism|Nucleotide Salvage Pathway|Nucleotides and nucleic acids|rn00230;00230;=>;-7.733;2.15281;R05135;rxn03483;23PDE9pp|23CN2P4|R05135;All:23PDE9pp|All:23CN2P4|All:R05135|iAF1260:23PDE9pp|iYO844:23CN2P4
rxn03484;;cpd00020 + cpd03709 <=> cpd00001 + cpd03710;cpd00020 + cpd03709 <=> cpd00001 + cpd03710;cpd00020 + cpd03709 <=> cpd03710;4.2.1.-;Naphthalene and anthracene degradation|rn00626;00626;<=>;-1.857;0.835819;R05136;rxn03484;R05136;All:R05136
rxn03485;;cpd03710 <=> cpd03711;cpd03710 <=> cpd03711;cpd03710 <=> cpd03711;5.3.99.-;Naphthalene and anthracene degradation|rn00626;00626;=>;-10.98;1.88595;R05137;rxn03485;R05137;All:R05137
rxn03486;2-hydroxymuconic semi-aldehyde (m-xylene);cpd00029 + cpd00067 + cpd00461 <=> cpd00001 + cpd03715;cpd00029 + cpd00461 <=> cpd00001 + cpd03715;cpd00029 + cpd00461 <=> cpd03715;3.7.1.-;Toluene and xylene degradation|Toluene Pathway|rn00622;00622;<=;13.463;0.870511;R05138;rxn03486;R05138|HMSH3;All:R05138|All:HMSH3|iJN746:HMSH3
rxn03487;1,4-beta-D-Glucan glucohydrolase;cpd00001 + cpd03718 <=> cpd00027 + cpd03719;cpd00001 + cpd03718 <=> cpd00027 + cpd03719;cpd03718 <=> cpd00027 + cpd03719;3.2.1.74;Starch and sucrose metabolism|rn00500;00500;<=>;-3.113;0.692797;R05141;rxn03487;R05141;All:R05141
rxn03488;1,4-beta-D-Glucan glucohydrolase;cpd00001 + cpd03719 <=> cpd00027 + cpd03720;cpd00001 + cpd03719 <=> cpd00027 + cpd03720;cpd03719 <=> cpd00027 + cpd03720;3.2.1.74;Starch and sucrose metabolism|rn00500;00500;<=>;-3.113;0.692797;R05142;rxn03488;R05142;All:R05142
rxn03489;galactitol-1-phosphate:NAD+ oxidoreductase;cpd00003 + cpd03752 <=> cpd00004 + cpd00067 + cpd03753;cpd00003 + cpd03752 <=> cpd00004 + cpd03753;cpd03752 <=> cpd03753;1.1.1.251;;;<=>;2.01;1.70129;R05147;rxn03489;R05147;All:R05147
rxn03490;benzene-1,4-dicarboxylate, NADH:oxygen oxidoreductase|(1,2-hydroxylating)| (1,2-hydroxylating);cpd00004 + cpd00007 + cpd00067 + cpd03778 <=> cpd00003 + cpd03759;cpd00004 + cpd00007 + cpd03778 <=> cpd00003 + cpd03759;cpd00007 + cpd03778 <=> cpd03759;1.14.12.15;2,4-Dichlorobenzoate degradation|rn00623;00623;=>;-70.4597;1.99926;R05148;rxn03490;R05148;All:R05148
rxn03491;S-Adenosyl-L-methionine:1-precorrin-6Y C5,15-methyltransferase|(C-12-decarboxylating)|(C-12-decarboxylating)|precorrin-6Y C5,15-methyltransferase (decarboxylating)| (C-12-decarboxylating);(2) cpd00017 + cpd03760 <=> cpd00011 + (2) cpd00019 + (2) cpd00067 + cpd03835;(2) cpd00017 + cpd03760 <=> cpd00011 + (2) cpd00019 + cpd03835;2 cpd00017 + cpd03760 <=> 2 cpd00019 + cpd03835;2.1.1.132;Porphyrin and chlorophyll metabolism|Porphyrin and chlorophyll metabolism|Cofactor Metabolism|Porphyrin and Chlorophyll Metabolism|rn00860;00860;<=>;1e+07;1e+07;R05149;rxn03491;R05149|PC6YM;All:R05149|All:PC6YM|iJN746:PC6YM|iMEO21:PC6YM|iNJ661:PC6YM
rxn03492;precorrin-6Y:NADP+ oxidoreductase|precorrin-6Y:NADP+ oxidoreductase|precorrin-6A reductase;cpd00006 + cpd03760 <=> cpd00005 + cpd00067 + cpd03761;cpd00006 + cpd03760 <=> cpd00005 + cpd03761;cpd03760 <=> cpd03761;1.3.1.54;Porphyrin and chlorophyll metabolism|Porphyrin and chlorophyll metabolism|Cofactor Metabolism|Porphyrin and Chlorophyll Metabolism|rn00860;00860;<=>;1e+07;1e+07;R05150;rxn03492;PC6AR|R05150;All:PC6AR|All:R05150|iJN746:PC6AR|iMEO21:PC6AR|iNJ661:PC6AR
rxn03493;6-Chlorobenzene-1,2,4-triol:oxygen 7S,8S-oxidoreductase;cpd00007 + cpd03769 <=> (2) cpd00067 + cpd03770;cpd00007 + cpd03769 <=> cpd03770;cpd00007 + cpd03769 <=> cpd03770;;;;=>;-103.72;1.60457;R05153;rxn03493;R05153;All:R05153
rxn03494;quinolin-4(1H)-one,NADH:oxygen oxidoreductase (3-oxygenating);cpd00004 + cpd00007 + cpd00067 + cpd03784 <=> cpd00001 + cpd00003 + cpd03771;cpd00004 + cpd00007 + cpd03784 <=> cpd00001 + cpd00003 + cpd03771;cpd00007 + cpd03784 <=> cpd03771;1.14.13.62;;;=>;-94.6067;1.28652;R05154;rxn03494;R05154;All:R05154
rxn03495;2-Methylquinoline-3,4-diol 2,4-dioxygenase (carbon monoxide-forming);cpd00007 + cpd03772 <=> cpd00204 + cpd03773;cpd00007 + cpd03772 <=> cpd00204 + cpd03773;cpd00007 + cpd03772 <=> cpd00204 + cpd03773;1.13.11.47;;;<=>;1e+07;2.13057;R05155;rxn03495;R05155;All:R05155
rxn03496;2-aminobenzenesulfonate, NADH:oxygen oxidoreductase|(2,3-hydroxylating, ammonia-forming)| (2,3-hydroxylating, ammonia-forming);cpd00004 + cpd00007 + (2) cpd00067 + cpd03774 <=> cpd00003 + cpd00013 + cpd03777;cpd00004 + cpd00007 + cpd03774 <=> cpd00003 + cpd00013 + cpd03777;cpd00007 + cpd03774 <=> cpd03777;1.14.12.14;Benzoate degradation via hydroxylation|rn00362;00362;=>;-92.1197;1.37304;R05156;rxn03496;R05156;All:R05156
rxn03497;quinolin-2-ol, NADH:oxygen oxidoreductase (5,6-hydroxylating);cpd00004 + cpd00007 + cpd00067 + cpd03779 <=> cpd00003 + cpd03780;cpd00004 + cpd00007 + cpd03779 <=> cpd00003 + cpd03780;cpd00007 + cpd03779 <=> cpd03780;1.14.12.16;;;=>;-61.2097;2.78693;R05157;rxn03497;R05157;All:R05157
rxn03498;Quinolin-2-ol,NADH:oxygen oxidoreductase (8-hydroxylating);cpd00004 + cpd00007 + cpd00067 + cpd03779 <=> cpd00001 + cpd00003 + cpd03783;cpd00004 + cpd00007 + cpd03779 <=> cpd00001 + cpd00003 + cpd03783;cpd00007 + cpd03779 <=> cpd03783;1.14.13.61;;;=>;-95.8267;1.31456;R05158;rxn03498;R05158;All:R05158
